FID,OBJECTID,KEY_ID,VALUE,TYPE,FEATURECOD,FEATUREGUI,EPSCREATET,EPSMODIFYT,PROJECTID,MAPSCALE,SECURITY,UPDATEREGI,UPDATETIME,YEWBH,YEWID,DESCRIPTIO,X,Y
21,169720,232226,7.300000000000000,0,839100,{E3931609-0B2F-4D7E-A645-D42909FC5942},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35179.033000000003085,-15332.620000000000800
22,169721,232228,7.090000000000000,0,839100,{24E943DC-506E-4A2A-B65A-75728CFEF250},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35628.667999999997846,-15432.119000000000597
23,169722,232229,6.680000000000000,0,839100,{2E805B49-1B6D-4906-A5D3-CA1D165EA6FE},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35596.868999999998778,-15444.261000000000422
24,169723,232234,5.480000000000000,0,839100,{D9C3E095-CD52-4C23-9C04-2E070368F3FF},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35492.004000000000815,-15477.129999999999200
25,169724,232235,4.970000000000000,0,839100,{ED8999AB-C8B0-4003-A0FA-42BD4C9B02D2},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35331.991000000001804,-15429.789000000000669
26,169725,232236,7.300000000000000,0,839100,{3AF37386-D628-4CC6-ADB7-68297D6A078A},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35219.692000000002736,-15418.343000000000757
27,169726,232237,4.600000000000000,0,839100,{5A23D976-521C-4497-9685-1DE1607378BF},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35028.650999999998021,-15427.986000000000786
28,169727,232239,4.700000000000000,0,839100,{83607636-A3BC-486A-971F-C121D92C4A05},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35136.699999999997090,-15605.058999999999287
29,169728,232240,4.300000000000000,0,839100,{E8073967-1FA2-4238-9612-F6FB1B3FCC3A},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35170.519000000000233,-15700.832000000000335
30,169729,232241,4.300000000000000,0,839100,{334E210E-31D2-4AD1-B5BB-A8AFAB33755B},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35213.491999999998370,-15791.256999999999607
31,169730,232242,5.450000000000000,0,839100,{CF46B461-0698-4DAD-A7DE-14C2C830AA05},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35370.122000000003027,-15514.260000000000218
32,169731,232243,5.350000000000000,0,839100,{931200F9-1F35-4A40-9CB3-51DAAC051D31},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35224.786999999996624,-15573.894000000000233
33,169732,232244,7.300000000000000,0,839100,{D27DB721-D2F8-4F81-82DC-2B542CE26710},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35257.343999999997322,-15499.311999999999898
34,169737,232297,4.100000000000000,0,839100,{CA97B62D-2D60-48C2-B748-2141395614ED},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33348.144000000000233,-16644.817999999999302
35,169738,232298,4.100000000000000,0,839100,{016D8AC4-E3AF-446D-A0C5-80CAEB1AD838},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33519.663999999997031,-16583.966000000000349
36,169739,232299,4.900000000000000,0,839100,{7BC087DE-6EC5-4A0F-85B2-CFE7563B55D3},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33744.582999999998719,-16503.560000000001310
37,169740,232301,6.520000000000000,0,839100,{D4C8F255-5FF7-464E-B6D7-68DBF8F3A85A},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33827.614999999997963,-16474.364000000001397
38,169754,232419,5.030000000000000,0,839100,{80866261-B50B-4149-9214-9E6B57F7D883},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33427.781999999999243,-17330.366999999998370
39,169755,232423,4.800000000000000,0,839100,{36021D17-A17D-4633-AA12-E338F6ACCCE0},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,33336.578000000001339,-17091.165000000000873
40,169756,232428,4.400000000000000,0,839100,{BDFFBA80-44A7-466D-8D09-5AA37181F02C},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34823.671999999998661,-17021.804000000000087
41,169757,232431,5.400000000000000,0,839100,{28516B44-97F5-4A6D-BB6E-ADBB71B54AAB},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,34092.966000000000349,-17026.131000000001222
42,169758,232432,7.500000000000000,0,839100,{2D847BD5-B13E-4519-81A3-CC2192B5D677},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35662.385000000002037,-17157.773000000001048
43,169759,232435,7.500000000000000,0,839100,{B5874B1A-68B4-4A3C-BE96-849E59C49F0D},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35784.595999999997730,-17384.731999999999971
44,169760,232437,7.400000000000000,0,839100,{D3F0F443-12AC-4A12-B600-BC496D977975},2010/4/7 0:00:00,2010/4/17 0:00:00, ,2000,0,{00000000-0000-0000-0000-000000000000},1899/12/30 0:00:00, ,0, ,35888.552000000003318,-17586.788000000000466
